"Title:","Vehicle Miles Traveled from the Vehicle Miles Traveled Database"
"SubTitle:","State"
"Time:","2004 - 2021"
"Unit of Measure:","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles","Miles"
"2009",58488000000,5018000000,60601000000,32784000000,316298000000,47477000000,31120000000,9355000000,194753000000,107112000000,9990000000,14999000000,102648000000,68923000000,30670000000,29401000000,46580000000,46246000000,14497000000,54971000000,54610000000,98813000000,54962000000,42005000000,68247000000,10953000000,19438000000,20430000000,13099000000,73395000000,26077000000,133993000000,100275000000,8238000000,107134000000,48058000000,33587000000,107028000000,8490000000,48737000000,8994000000,67339000000,239491000000,25382000000,7426000000,79612000000,56011000000,3662000000,20050000000,58014000000,9207000000
"2010",59319000000,5035000000,61328000000,34184000000,325931000000,48490000000,32159000000,9244000000,196957000000,107802000000,10116000000,15522000000,106149000000,73469000000,31452000000,30262000000,47633000000,44834000000,14781000000,55707000000,56119000000,101441000000,57852000000,44381000000,69339000000,11224000000,20173000000,20213000000,13275000000,74067000000,26515000000,135579000000,104416000000,8685000000,109029000000,48666000000,34306000000,107262000000,8358000000,49940000000,9497000000,70351000000,241384000000,25983000000,7493000000,82414000000,57576000000,3794000000,20956000000,59272000000,9602000000
"2011",56174000000,4967000000,60262000000,32655000000,320294000000,46263000000,31346000000,9090000000,192291000000,107471000000,9864000000,15432000000,106690000000,78332000000,31186000000,29060000000,46982000000,42528000000,14311000000,55486000000,54194000000,95685000000,57499000000,40558000000,66818000000,11323000000,19896000000,20134000000,12808000000,72320000000,25626000000,132375000000,125894000000,8844000000,110547000000,47275000000,33563000000,104207000000,8137000000,48735000000,9513000000,69736000000,231837000000,26231000000,7611000000,80687000000,55924000000,3906000000,19069000000,58133000000,9661000000
"2012",63282000000,4695000000,59111000000,32518000000,318038000000,46818000000,30904000000,9040000000,192375000000,108871000000,10072000000,15736000000,106076000000,75663000000,31246000000,29126000000,48195000000,43358000000,14199000000,56013000000,53409000000,96328000000,57600000000,39117000000,68658000000,11470000000,19518000000,21080000000,12822000000,72720000000,24745000000,129310000000,101669000000,8997000000,111789000000,47334000000,32991000000,100350000000,8125000000,48558000000,8684000000,69974000000,237320000000,26546000000,7117000000,80993000000,55724000000,3673000000,19500000000,58702000000,9654000000
"2013",65195000000,4582000000,60053000000,32643000000,324412000000,47865000000,31262000000,9186000000,193378000000,109342000000,10268000000,16283000000,104155000000,76610000000,31000000000,29826000000,48409000000,46275000000,14108000000,56413000000,54817000000,95717000000,57115000000,38451000000,68603000000,12036000000,19360000000,24106000000,12793000000,73786000000,25310000000,126697000000,104732000000,9470000000,113534000000,48866000000,33801000000,98894000000,7926000000,49583000000,8913000000,71017000000,246787000000,26606000000,7168000000,80186000000,57712000000,3533000000,18777000000,54832000000,9218000000
"2014",66142000000,4648000000,61041000000,32971000000,329582000000,49790000000,31367000000,9161000000,197144000000,111676000000,10377000000,16647000000,104803000000,77143000000,31230000000,30336000000,48369000000,47259000000,14098000000,56238000000,55434000000,96157000000,57120000000,39359000000,69415000000,12292000000,19895000000,24842000000,12969000000,72952000000,25992000000,126062000000,105541000000,9678000000,113302000000,49630000000,34469000000,99020000000,7953000000,50906000000,9128000000,72790000000,252894000000,27188000000,7193000000,80428000000,57295000000,3525000000,18601000000,55494000000,9382000000
"2015",68461000000,5007000000,63887000000,35334000000,354118000000,51122000000,31261000000,9699000000,208710000000,116542000000,12329000000,17187000000,108275000000,86395000000,32164000000,31506000000,48310000000,49145000000,14417000000,58544000000,57212000000,99720000000,58915000000,40944000000,72784000000,13002000000,20557000000,26069000000,13351000000,75040000000,26331000000,139366000000,109973000000,10235000000,115876000000,48830000000,36240000000,100588000000,7757000000,52431000000,9667000000,74761000000,260861000000,28880000000,7279000000,82943000000,59809000000,3634000000,19543000000,62303000000,9683000000
"2016",69512000000,5037000000,66868000000,36254000000,364592000000,52931000000,32004000000,10146000000,218256000000,120659000000,11526000000,17657000000,109049000000,83111000000,32452000000,32098000000,49482000000,49382000000,15004000000,58476000000,59120000000,104503000000,59472000000,42214000000,75587000000,13145000000,20801000000,26989000000,13571000000,76893000000,26512000000,135886000000,115393000000,10150000000,118837000000,48842000000,37463000000,102776000000,7774000000,54002000000,9616000000,77764000000,262562000000,30111000000,7301000000,84609000000,61827000000,3555000000,19655000000,63522000000,9588000000
"2017",69488000000,5055000000,67576000000,35734000000,353277000000,53714000000,32168000000,10257000000,216185000000,122632000000,10539000000,17713000000,107643000000,80579000000,34225000000,32591000000,50381000000,47949000000,15058000000,59523000000,60890000000,103698000000,58186000000,41460000000,74337000000,12773000000,20867000000,27805000000,13521000000,76670000000,28118000000,129028000000,118045000000,9785000000,117989000000,49236000000,37639000000,103095000000,8018000000,55013000000,9344000000,80110000000,271352000000,31899000000,7458000000,85447000000,61592000000,3553000000,20126000000,64423000000,9485000000
"2018",69646000000,5223000000,68687000000,35675000000,351900000000,54449000000,31680000000,10227000000,223517000000,122167000000,11083000000,18025000000,106764000000,83523000000,33392000000,32874000000,49178000000,48372000000,14766000000,59669000000,62071000000,100621000000,58748000000,40622000000,73473000000,12818000000,20960000000,28284000000,13576000000,76988000000,28310000000,122994000000,118246000000,9762000000,119265000000,49955000000,37882000000,103317000000,8197000000,55579000000,9463000000,77473000000,279207000000,32845000000,7394000000,84903000000,62838000000,3756000000,19864000000,65494000000,9438000000
"2019",71845000000,5509000000,68921000000,36485000000,351960000000,54044000000,31578000000,10375000000,227290000000,126777000000,11268000000,18116000000,107316000000,81675000000,33368000000,32449000000,49617000000,48987000000,14733000000,60230000000,64276000000,101371000000,59210000000,40740000000,75209000000,12769000000,21024000000,28078000000,13785000000,78805000000,29657000000,125103000000,122507000000,9829000000,118428000000,48785000000,37355000000,103706000000,8027000000,56907000000,9584000000,82522000000,280149000000,32468000000,7411000000,86292000000,63375000000,3893000000,18984000000,65597000000,9974000000
"2020",64718000000,4798000000,62470000000,34325000000,299832000000,47176000000,25859000000,8361000000,197043000000,116330000000,8260000000,16292000000,91087000000,72405000000,30294000000,29035000000,44066000000,44028000000,12677000000,50703000000,54318000000,85546000000,51405000000,36446000000,68016000000,12057000000,19017000000,24311000000,11765000000,62767000000,24281000000,104287000000,108659000000,8622000000,99919000000,41255000000,32561000000,86974000000,6547000000,51602000000,8902000000,75733000000,247625000000,29209000000,5923000000,71860000000,53352000000,3164000000,16431000000,56895000000,9740000000
"2021",70293000000,5612000000,73939000000,37711000000,321100000000,53191000000,30343000000,9221000000,227184000000,128950000000,9760000000,19008000000,101223000000,81619000000,33434000000,30750000000,48977000000,50961000000,14309000000,56225000000,59024000000,94674000000,57455000000,41429000000,78984000000,13555000000,21106000000,28071000000,13022000000,71076000000,27579000000,114611000000,117602000000,9417000000,109974000000,44803000000,35359000000,95698000000,7542000000,58006000000,10661000000,83259000000,282835000000,33818000000,6731000000,81221000000,60684000000,3515000000,17076000000,64102000000,10280000000



"Publisher:", "Federal Highway Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
